course_code,course_name,material_type,material_title,material_link,description,keywords
CSE 1100,Computer Fundamentals and Ethics,Slide,Slides on Computer Ethics,https://drive.google.com/drive/folders/15DL8wwgKBuUPMvYnyOMGd5cDdYEyR65Z,"Provides fundamental knowledge of computer science, including an overview of hardware, software, and essential computing concepts that build the foundation for advanced courses.","Intorduction, CSE, Software, Hardware"
CSE 1101,Structured Programming,Slide,Slide on C Programming,https://drive.google.com/drive/folders/1L0zNT3RjlYrqAfEBUthnRLJxExi4uojd,"Gives basic idea of programming using variables, loops, and functions for simple problem solving.","C Programming, loops, array, string, pointer, slide"
CSE 1101,Structured Programming,Book,C Programming Books,https://drive.google.com/drive/folders/1341-HaTJqMHqLl8NjeSYo4HGbfxXyROh,"Gives basic idea of programming using variables, loops, and functions for simple problem solving.","C Programming, loops, array, string, pointer, book"
CSE 1101,Structured Programming,Video,Video on C Programming,https://www.youtube.com/watch?v=-epx4dSNWOw&list=PLgH5QX0i9K3pCMBZcul1fta6UivHDbXvz,"Gives basic idea of programming using variables, loops, and functions for simple problem solving.","C Programming, loops, array, string, pointer, book"
CSE 1102,Structured Programming Sessional,Lab Manual,Lab Manual C Programming,https://drive.google.com/drive/folders/155wpxjaw2DjbjM-3IO_3ZCqHPb0mZPq4,"Gives basic idea of programming using variables, loops, and functions for simple problem solving.","C Programming, loops, array, string, pointer, book"
